broker_company,broker_name,broker_phone_number,broker_photo_url,business_location,description,header,image_url,price
,,,,"Los Angeles County, CA","An incredible chance to become the owner of a pet grooming business in a busy center in LA city. Distinguishing itself from the rest, this one-of-a-kind venture faces no direct competition and is...",Profitable Pet Grooming Opportunity in LA County,https://images.bizbuysell.com/shared/listings/219/2194264/5e866216-81cb-4e47-b51b-9686da0b32fc-W336.jpg,119000.0
,,,,Available Nationwide,"Gotcha Covered franchise owners enjoy a high-income potential, impressive margins, and a great lifestyle selling blinds, shutters, shades and custom draperies to the home and commercial markets.",Gotcha Covered,https://images.bizbuysell.com/fnw/images/905/956/13dbcaa3-9591-4804-9ec1-0c9e5f0aa914.png,50000.0
,,,,"Santa Monica, CA","The winery breaks the cultural norms around wine and winemaking. Inspired by the casual everyday celebrations that foster connection, the wines are meant to be enjoyed by everyone. The...",Woman Owned Winery with Nationwide Recognition for Sale,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/agvineyards.jpg,
,,,,"Monrovia, CA","This is the opportunity you have been waiting for. The store, the location, the price is all right. Located in the heart of historic and busy downtown Monrovia. The floor plan is open and fully...",Profitable and Trendy Retail Business Opportunity,https://images.bizbuysell.com/shared/listings/214/2141861/28669aaf-378d-418f-b139-d8f3be55ebe1-W336.jpg,295000.0
,,,,"Downey, CA","Essential, global, data, and technology focused company creating an exceptional customer experience through transparency and education, resulting in substantial bottom line margins (15% Average 4-wall...","Multi Unit Automotive Collision Business in Los Angeles, CA",https://images.bizbuysell.com/shared/listings/183/1833190/aa5c8499-3caf-472a-b8d3-db3864b7932d-W336.jpg,5400000.0
,,,,"Los Gatos, CA","Established clientele, beautiful restaurant with plenty of parking, outdoor patio, private room, beer and wine, nice manageable size. Even profitable during covid restrictions with lots of take out...",Profitable Restaurant for 16 years in downtown Los Gatos area,https://images.bizbuysell.com/shared/listings/219/2193936/66620250-2c31-4186-b583-41d267122cfc-W336.png,450000.0
,,,,"Los Angeles, CA","Mission’s Tortilla Route for sale in the Santa Clarita, California region for $100,000! Currently generating $428,796 in yearly sales and nets $62,559. Distributorship and territory are purchased...","Mission's Tortilla Route, Santa Clarita, CA",https://images.bizbuysell.com/shared/listings/220/2203324/e87eccfb-8ad4-4ebc-b2d0-65a6e8704811-W336.jpg,100000.0
,,,,"Los Angeles County, CA","Multi-unit opportunity | AUV Above System Average This offering consists of 5 attractive Jamba restaurants in desirable areas Jamba was founded in 1990 (incorporated as Juice Club, Inc.) in San Luis...",Jamba Multi-Unit Franchise Opportunity,https://images.bizbuysell.com/shared/listings/220/2203307/09676c93-7015-448c-90d7-387b462bbb2b-W336.jpg,2750000.0
,,,,"Los Angeles County, CA","Sells is an accomplished businesswoman with expertise and instinct for mergers and acquisitions. With over 150 transactions under her belt since 2010, she and her team at The Firm specialize in pairing the owners of existing businesses with qualified individuals who can continue the legacy of the business. In 2018 alone they brought 49 businesses to the closing table, which is a nationally recognized high.

Sells leads a team of empowered professionals who share her passion for client services and helping buyers and sellers imagine their futures, whether that means retirement, change in industry, or simply acquiring a company to expand their personal wealth. The Firm Business Brokerage works with businesses large and small, from the Middle Market to Main Street. If you’d like to pursue an exit from an existing company or would like to become a business owner without “starting from scratch”, Sells and her team would welcome the opportunity to meet with you.

Prior to founding The Firm, Sells founded Agency 89, a talent agency which then became Nebraska’s first licensed talent school. She served as President until the agency’s acquisition in 2009.

Among her professional affiliations are Vistage, a board member of Entrepreneur’s Organization Nebraska (EO), Rotary International and the Greater Omaha Chamber of Commerce. She served on the board of Heartland Family Services and volunteers regularly for organizations such as The Leukemia & Lymphoma Society, where she was a nominee for Woman of the Year, St. Patrick’s parish and is a mentor for the Transition Assistance Program at Offutt Air Force Base.

Sells was named “Best of Omaha” Business Broker of the Year from 2012-20178 She is also the Editor of The Deal Review, a publication distributed to 21,000 business owners. Her accomplishments include cover stories in Midlands Business Journal, The Daily Record, Omaha Magazine, and features on Fox News and CBS’ Morning Blend.

When away from the office, Cortney and her partner Adam enjoy active roles at St. Margaret Mary Catholic School, coaching their daughter Vienna’s soccer team and boating on the lake with their son Knoxx and three dogs.",,,
,,,,"Beverly Hills, CA","MUTOOF® is pleased to present a rare opportunity to own a successful dry cleaners in Beverly Hills. Some of the best locations in Los Angeles. More than $250,000 in gross, over $120,000 in net income....",A rare opportunity to own a successful dry cleaners in Beverly Hills.,"https://images.bizbuysell.com/shared/listings/220/2203155/00d94bc2-7a9b-4563-b228-a0ab090464dd-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203155/ed5c5bc2-c4e4-477b-bdfe-baf7e5236f6c-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203155/c47d47dc-ab31-4176-9843-45acabf19ff6-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203155/bb818e5c-008d-40f7-9a3e-0efcf8e7f221-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203155/0488929f-0001-4623-9da7-b9420b6fa225-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203155/fd6bd17d-0cf9-4e27-adf8-d4b716a503f9-W336.jpg",150000.0
,,,,"Long Beach, CA","The Long Beach Area bar caters to a diverse community with a host of near nightly events that include karaoke, shows and dancing. The venue boasts a stellar location with excellent visibility,...",Long Beach Area Bar w/Dance and Entertainment– Exudes Personality!,https://images.bizbuysell.com/shared/listings/215/2159385/5ee86349-c97f-487a-b7fe-76a7c3c01a00-W336.jpg,275000.0
,,,,"Sacramento County, CA",This is a Northern California Exhaust Component Manufacturer that is a California S Corporation that has been in business for the past 54 years and under current ownership for the last 31 years. They...,Custom Manufacturing for Auto Industry,https://images.bizbuysell.com/shared/listings/213/2137220/4dd08675-3197-46a7-ae87-a4aaed2607a0-W336.jpg,3790000.0
,,,,"Lakeport, CA","Successful & thriving longtime running restaurant Rene's Cafe has been busy serving up Breakfast, Lunch and Dinner for over 26 years! - Here is an opportunity to step into a business that has proven...",Successful ongoing restaurant 4 sale in Lakeport.,"https://images.bizbuysell.com/shared/listings/217/2177702/bdb0f782-5012-422f-bd08-c7d2850f0fa2-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2177702/dfcfbfbe-e6a3-44e9-82dd-8706c749ef27-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2177702/a43d63c6-e1ee-4321-9134-0d3387fa766d-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2177702/2fb47064-ec57-4c62-8cd9-1c439cdfbe2e-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2177702/4f3ec5a5-ecb0-4666-a07f-b54e508e3f19-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2177702/7a27eae9-cc1c-4dbf-a994-7bd737c76a49-W336.jpg",750000.0
,,,,"Riverside County, CA","Newly built from the ground-up. New equipment, plumbing, and electrical for high volume operation. Currently operating as a Pizza shop (take-out & Delivery) in Riverside in proximity to freeways...",Pizza & Great Candidate as Ghost Kitchen - PRICE DROP!,https://images.bizbuysell.com/shared/listings/217/2173887/743e478b-7cbc-4452-b4f7-0829c8eb3081-W336.jpg,74995.0
,,,,Available Nationwide,"Real Property Management, a Neighborly company, is the nation's leading property management services franchise.
",Real Property Management,https://images.bizbuysell.com/fnw/images/1027/1090/6ac8e83b-28b7-4450-a8d1-e62607b520cd.png,50000.0
,,,,"El Cajon, CA","2 routes & 11 Machines with 3 side units: Carlsbad and Northeast County. Both routes are included in sale price. Been getting a lot of messages, I will get back to everyone. I’ve put a lot of work...",2 North County Routes for sale,"https://images.bizbuysell.com/shared/listings/215/2159107/5cc9a3d7-6a07-4ad7-8496-ecb8506b0530-W336.png,https://images.bizbuysell.com/shared/listings/215/2159107/1a64b000-418c-43e6-aabb-a840230246b2-W336.png,https://images.bizbuysell.com/shared/listings/215/2159107/5f15a99d-63e7-4f57-811d-f1f00448f353-W336.png",70250.0
,,,,"Los Angeles County, CA","Incredible opportunity to purchase a 9-year CUTTING established Barber Shop. Be an absentee owner, or pick a chair and start cutting yourself. ""Barber shop provides high-end, low-cost quality...",Barber Shop - 8 Chairs,https://images.bizbuysell.com/shared/listings/215/2159017/b9d0f5d5-3ec2-4a82-b265-1edbf944ec49-W336.jpg,95000.0
,,,,"Bakersfield, CA","• Auto Spa Express Car Wash offers Full Service and Express Car Wash service and Auto Detail • Adjacent Corner Lot available for $700,000 • A unique rare combination car wash offering 100% Hand Car...",Express Car Wash - Full Service Car Wash Combination,https://images.bizbuysell.com/shared/listings/219/2195245/659be89b-4c31-453a-9dbf-248270ea6da2-W336.jpg,2290000.0
,,,,"Los Angeles, CA",This is a great opportunity to take over an existing photo and content studio rental business. Our 4-room studio has been fully functional for almost 3 years with steady clients and bookings. The...,Turn-key Established Photo & Content Studio Business For Sale,"https://images.bizbuysell.com/shared/listings/217/2175978/d9a90fbf-9052-469d-abe8-103baee80280-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2175978/9ae00d05-6e60-4652-ac0e-d5eb1a230844-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2175978/8a4f59e2-b936-4ae0-8cde-cb158727ab7f-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2175978/7cacae67-c266-4eff-913c-1da65be11f81-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2175978/c13eb8ed-314a-4b19-b1a5-b2bbe0f17137-W336.jpg",35000.0
,,,,"Redlands, CA","**Prime Opportunity Awaits in the Beauty Business!** Nestled in the heart of Redlands City, our established nail salon has thrived by delivering exceptional services, fostering customer loyalty, and...","Turnkey Nail Salon: Prime Location, Loyal Clients, Strong Revenue!","https://images.bizbuysell.com/shared/listings/214/2145755/ce65c50c-b53b-47d1-b262-275ecd38d4e7-W336.jpg,https://images.bizbuysell.com/shared/listings/214/2145755/0be01651-3fe4-4a2b-9960-5adcd9e43e77-W336.jpg,https://images.bizbuysell.com/shared/listings/214/2145755/65af535c-7097-4078-9c00-862cfcc35c05-W336.jpg,https://images.bizbuysell.com/shared/listings/214/2145755/28a5f29e-14e9-43fe-a2e1-a2ad0613956b-W336.jpg,https://images.bizbuysell.com/shared/listings/214/2145755/dfcbf281-305d-4c6e-ba67-4158b83a0453-W336.jpg,https://images.bizbuysell.com/shared/listings/214/2145755/2314460f-816e-496f-b599-af015f19c0cb-W336.jpg",750000.0
,,,,"Solana Beach, CA","Salon with booth renters paying ALL expenses. Has private room to add more stations, lash extensionist, massage therapist or other beauty professional. Best for working professional with clientele so...",Solana Beach Salon & Spa,https://images.bizbuysell.com/shared/listings/213/2137907/70340c81-2377-46a0-a11d-2f91fe2c12b4-W336.jpg,85000.0
,,,,"San Francisco, CA",100% of the reported gross income for this business is recurring revenue from SAAS products! This very profitable distribution company bills itself as a Technology Strategy & Advisory practice helping...,International Software Distribution,https://images.bizbuysell.com/shared/listings/212/2129939/664eb1d4-fb06-4b0c-89e3-1a965648cd72-W336.jpg,2300000.0
,,,,"Long Beach, CA","We proudly present Roundin' 3rd Sports Bar & Grill, a fantastic opportunity to acquire a thriving restaurant in the vibrant city of Long Beach. This well-established establishment has gained a loyal...",Roundin' 3rd Sports Bar & Grill | SELVA Saloon & Fire Food,https://images.bizbuysell.com/shared/listings/212/2127757/fe932f14-e9e4-4df8-afcf-b7085486fc31-W336.png,949000.0
,,,,"Los Angeles, CA","Welcome to the heart of downtown Los Angeles and seize the opportunity to own a flourishing flower shop that epitomizes elegance and style. Located in a prime area with high foot traffic, this...",Flower Shop in Downtown Los Angeles,"https://images.bizbuysell.com/shared/listings/219/2193779/1ed75419-baa5-4bec-8405-7064387cd427-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2193779/fe81f5aa-1ea1-4bec-80d7-0dc9fe5e21c8-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2193779/aede4efa-07bf-4fe6-b336-6f01e3e1062b-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2193779/2093bdea-22dd-40d4-a3b6-a5134344cbc5-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2193779/66bbf48c-76b7-4798-b023-67d5f7b0cbc6-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2193779/ff1c58d9-6818-4445-916a-38b94ccff2a2-W336.jpg",250000.0
,,,,"Hollister, CA",Solid rates on these accounts. Excellent area to grow a large company if desired. Customers are very appreciative of receiving quality service. Accounts are very well cared for by a professional...,Hollister Pool Service Route for Sale,https://images.bizbuysell.com/shared/listings/219/2193529/61e831eb-4a74-4484-9365-c601e2d78b31-W336.png,120000.0
,,,,California,"Historical Cafe In Northern California - SC2165 This Northern California Eatery/Restaurant is a California Sole Proprietorship and has been in operation for only 1 year. Freshly renovated, this eatery...",Historical Cafe In Northern California - SC2165,https://images.bizbuysell.com/shared/listings/219/2193514/a72f51a2-44cd-44fc-8f31-361e12ea49ef-W336.jpg,139000.0
,,,,California,Recession Resistant San Joaquin Valley Mail Center Franchise - SC2164 This San Joaquin Valley based Mail Center Franchise is a California Limited Liability Company and has been in operation for 25...,Recession Resistant San Joaquin Valley Mail Center Franchise - SC2164,https://images.bizbuysell.com/shared/listings/219/2193505/9ec932c1-8008-439d-991f-caf3a5f0287e-W336.jpg,225000.0
,,,,California,Premier Ready To Assemble (RTA) Cabinet Supplier - SC2163 This Northern California based Ready to Assemble (RTA) Cabinet Supplier is a California Limited Liability Company and was established in 2003...,Premier Ready To Assemble (RTA) Cabinet Supplier - SC2163,https://images.bizbuysell.com/shared/listings/219/2193495/15cb42ba-528f-4815-95b6-cf1ced79a143-W336.png,399000.0
,,,,Available in California,PIRTEK is a worldwide industry leader and their experience and knowledge will be invaluable as you start and grow your business.,Pirtek USA,https://images.bizbuysell.com/fnw/images/290/290/f28cf356-3171-4b7a-a4b7-21cfe2a6cffc.png,150000.0
,,,,"Orange County, CA","Established, profitable online/manufacture supply business - plumbing, bathroom hardware fixtures. Nearly 300k in annual sales! If you have always wanted to tap into the e-commerce world of sales,...",Work from Home 11-13 Hours per week Profitable Amazon and Online Sales,https://images.bizbuysell.com/shared/listings/219/2192896/dfefb345-224c-458f-a339-6b217a93d364-W336.jpg,235000.0
BottomLine Business Brokers,Mark Pieter,(714)290-7145,https://images.bizbuysell.com/shared/brokerdirectory/images/25819/lg_prs_MarkPieter-LinkedIn.jpg,"Los Angeles County, CA","This civil engineering design and consulting company serves the greater Southern California area. They have a stellar reputation among architects, tract home developers, commercial developers, and...",Reputable Civil Engineering Firm - Ready for Acquisition,https://images.bizbuysell.com/shared/listings/214/2148558/b71766df-5865-4a4c-8883-ae98acab180e-W336.jpg,1799000.0
,,,,"Corona, CA","Auto tint, audio, and alarm shop is a turn-key business for owner/operator. Very established business with excellent reviews and google presence. Operating in Corona for since 1997. Be Your Own Boss!...","Auto Tint, Audio, Alarm Shop",https://images.bizbuysell.com/shared/listings/218/2186409/74e55bd2-0d7b-40b7-92dc-01f65925aa7f-W336.jpg,100000.0
,Dylan Gallagher,(646) 558-7515,,"Los Angeles County, CA","Embark on a dynamic journey through the cannabis accessory industry. Established in 2018, this venture began with the discovery of a natural adhesive, setting the stage for continuous growth....",Profitable Ecommerce Smoking Accessory Shop,https://images.bizbuysell.com/shared/listings/220/2204650/df3df119-22f8-46d2-942f-d520ac6eba63-W336.jpg,700000.0
,,,,"Placer County, CA","This blow dry bar business in the Sacramento area is one the top salon franchises in the country, and it is a brand that is growing exponentially with locations all across the country and in Canada....",Top Brand Name Blow Dry Bar w/ $300+K in Revenue in Sacramento,https://images.bizbuysell.com/shared/listings/212/2122789/7bd5f10a-ba8e-412d-aa55-63f90854a0cb-W336.jpg,50000.0
,,,,"Martinez, CA","Roxx On Main is a culinary haven where innovation meets tradition, every dish is a masterpiece and has been a community fixture in historic downtown Martinez for 14 years. We take pride in curating an...",Roxx On Main: A Culinary Gem Thriving in Downtown Martinez for 14 Year,"https://images.bizbuysell.com/shared/listings/217/2178675/da1f92e5-9d02-4492-a5bf-9ae85a79ebf2-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2178675/71a2869b-7590-4dd1-a1fc-f126d278ac56-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2178675/b146aab7-83fc-4533-973d-8e31ab3f5a5f-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2178675/615e0a12-0f76-45ad-894a-e5e8945737e5-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2178675/3578a2b6-12fc-4b3a-8b30-b500e8e19023-W336.jpg,https://images.bizbuysell.com/shared/listings/217/2178675/2958ceb0-0d22-45b8-a5e2-df486ac827b5-W336.jpg",600000.0
,,,,"Sacramento County, CA",InTrust Realty Group.,,,
,,,,"Los Angeles, CA","HUGE PRICE REDUCTION $100000 DOWN FOR QUICK SALE. Grocery market including fresh vegetables, fish section, meat section lots of spices etc. Also have well established Indian restaurants. Come and see...",Restaurant and Grocery,"https://images.bizbuysell.com/shared/listings/215/2151435/0a734678-7e6e-4dbd-a137-b661527cbd3c-W336.jpg,https://images.bizbuysell.com/shared/listings/215/2151435/869b7fd1-f23a-4675-a586-cc4c6824e41d-W336.jpg,https://images.bizbuysell.com/shared/listings/215/2151435/7b236442-ca44-4ea0-879e-ff4452174654-W336.jpg,https://images.bizbuysell.com/shared/listings/215/2151435/6b24d45d-beb0-48c8-a9fa-e4bbbbbdf567-W336.jpg,https://images.bizbuysell.com/shared/listings/215/2151435/bdc135ba-442e-4fba-bc1d-eabe29678d4e-W336.jpg,https://images.bizbuysell.com/shared/listings/215/2151435/4aa5b1f1-ce49-44e4-b018-e104e7675b87-W336.jpg",200000.0
,,,,"Roseville, CA",This is an opportunity to become part of an American tradition with this nostalgic frosty restaurant and walk up! The sale includes a profitable quick-serve business and restaurant building in a...,Roseville Grill Restaurant with Property,https://images.bizbuysell.com/shared/listings/216/2168619/4aedfda8-4ff4-489c-bca6-dc614d42b5b1-W336.jpg,749000.0
,,,,"Fallbrook, CA",Located off I-15 in North County- close to Temecula. 70 year old business located on a main thoroughfare. This is a high volume business that has rebound from COVID shut downs and is currently working...,Established Dry Cleaners and Alterations on a busy street,"https://images.bizbuysell.com/shared/listings/199/1994140/8fea25c8-3754-4ed9-9db6-9290ef34fb5d-W336.jpg,https://images.bizbuysell.com/shared/listings/199/1994140/dd4b406b-5814-4e35-be07-a0c5632d1099-W336.jpg,https://images.bizbuysell.com/shared/listings/199/1994140/31036264-79b4-4d6f-82c2-831dc43d3ff6-W336.jpg,https://images.bizbuysell.com/shared/listings/199/1994140/36d13551-5c7d-453b-8493-ac5a0427961c-W336.jpg",450000.0
,,,,"Compton, CA","The Business model revolves around the distribution of plastic sheets or Plexiglass, highly sought-after raw materials with significant demand in various industries. These materials are predominantly...",Established Distribution Plastic sheet & Rent Property income Business,"https://images.bizbuysell.com/shared/listings/219/2197907/b4bb0b22-acfe-4a34-883a-cfcaac5e9204-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2197907/e55c2034-3e86-4979-b4c7-ccae48558008-W336.jpg,https://images.bizbuysell.com/shared/listings/219/2197907/c22cf651-73cc-47a3-b142-75a91dde7d41-W336.jpg",350000.0
,,,,"Sacramento, CA","Turn key. Started in 2016, very profitable Tree Service with 3 climbers and 6 groundsman. 1 bucket truck, 3 chipper dump trucks, 2 chippers, bobcat with trailer, 2 stump grinders, and saws and other...",Tree Service,https://images.bizbuysell.com/shared/listings/218/2182995/8a3a240b-b54a-4459-af9a-4bd90e4c575f-W336.jpg,750000.0
,,,,Available Nationwide,"A lifestyle business! A one stop solution provider for transportation, pallets, packaging and industrial supplies.",Supply Pointe,https://images.bizbuysell.com/fnw/images/653/673/cce4bc34-7560-4f18-9ba5-375129c9e81e.png,50000.0
,,,,"Irvine, CA","Fire Loop VR, a premier virtual reality entertainment company, specializes in group-based, fully immersive hyper-reality experiences with environmental effects. Our prime location in Irvine,...",Location Based Multiplayer 4D VR Arcade (FIRE LOOP VR),"https://images.bizbuysell.com/shared/listings/218/2182904/d08b48eb-17aa-4384-bb9e-96b2740766a5-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2182904/fd791735-ff3c-4ce3-a12f-b5d1f273d8c5-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2182904/8188e498-7aaa-44d3-a490-d1ea18b6dcfc-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2182904/6fa61828-d1ab-40a3-af27-2e198361c0fd-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2182904/2abe82f6-c0d6-408d-aef8-30c10045b7da-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2182904/523969e1-7762-4e49-9200-1862b7068ffe-W336.png",770000.0
,,,,"Los Angeles County, CA","Owner Retiring Highly Profitable Box Manufacturer in LA one of the top manufacturer of quality boxes. In business for more than 60 years, this company has experienced year after year increases in...",Folding Carton Manufacturing Company with Distribution Company,"https://images.bizbuysell.com/shared/listings/218/2182510/1c45d155-cefc-48dc-9d28-60b3ad960b5b-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2182510/c9fade74-4d69-4cc1-8e56-db49f2e8f826-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2182510/2af845b1-d277-43b4-a60e-95b3823d0d82-W336.jpg",3500000.0
,,,,"Arcadia, CA",CONTROL YOUR FUTURE AND TAKE OVER EXISTING HIGH QUALITY RV & AUTO REPAIR BUSINESS INCLUDING THE REAL ESTATE. ** Do not disturb current owner occupant or employees ** Owner is retiring. RV & Auto...,Successful RV & Auto Service Business and Real Estate | Arcadia CA,"https://images.bizbuysell.com/shared/listings/215/2159841/ea86e01b-7fc7-4c94-94de-f308c7d3722a-W336.jpg,https://images.bizbuysell.com/shared/listings/215/2159841/76cfd44b-509c-4782-a79c-a7029fbf61dd-W336.jpg",2299000.0
,,,,"Twentynine Palms MCB, CA","Get Wet Scuba, a well-established and successful business in the scuba diving industry, is now available for sale. With a solid reputation, Get Wet Scuba presents a unique opportunity for an aspiring...",Get Wet Scuba,https://images.bizbuysell.com/shared/listings/214/2145406/306c8b31-5484-4f5a-9877-6433e8cc0457-W336.jpg,275000.0
,,,,"Palm Springs, CA",I-shred Document Destruction is a locally owned and operated On-site document shredding company in Palm Springs CA. Their goal is to provide their customers with a cost effective and high quality...,I-Shred,https://images.bizbuysell.com/shared/listings/210/2106910/924b09ac-5aa4-4a0a-931d-3d737393e6af-W336.jpg,700000.0
,,,,Available Nationwide,Pet Evolution Franchise - Multiple Revenue Streams,Pet Evolution,https://images.bizbuysell.com/fnw/images/2561/2676/6229dacb-87db-42ff-a729-09298870cc30.png,150000.0
,,,,"Fremont, CA","Established Pizza business location in a very busy area of Fremont. Great space with l;arge type one hood, plenty of storage, Parking, seating....","Pizza, Pizza Pizza",https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/foodpizza.jpg,250000.0
,,,,"San Rafael, CA","This downtown San Rafael Bar and Restaurant has been established for over twnety years. Full Liquor, Type one hood, Indoor and outdoor seating . Well maintained! Must See!...",Bar / Restaurant,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/foodbars.jpg,298000.0
,Mia Nguyen,(949) 275-5112,,"Culver City, CA","Here's a great opportunity to snag 800 Sq. ft. of light and bright renovated food-service/retail space, with high visibility right along Washington Blvd., in booming Culver City. This space is already...",Modern & Bright Coffee /  Tea / Boba Shop in Bustling Culver City!,"https://images.bizbuysell.com/shared/listings/220/2203834/bff901e3-b4d8-4e0a-a5a4-c3c32651473a-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203834/604ebda7-7a56-4ef6-bff5-4c14b2a768fa-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203834/87ef439c-8776-487b-aa74-cf5353fb8b3b-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203834/6994f424-7b43-447a-8ed4-453a83a030c2-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203834/85a3abd6-c444-492b-82b4-179f4a27771f-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203834/b7ef32f3-3e20-4211-b54d-54a2630719bc-W336.jpg,https://images.bizbuysell.com/shared/listings/220/2203834/ba75c566-048f-4dd6-908c-a145945fa7c6-W336.jpg",125000.0
,,,,"Redding, CA","15 units for sale @$175,000/unit. May be sold as a portfolio or separately. Largest sandwich franchise in the world. Dominant Northern CA operator with little competition. Longtime Owners are retiring...",Largest Sandwich Franchise In the World - 15 Units for Sale,https://images.bizbuysell.com/shared/listings/217/2177612/46b3fd81-336c-43e8-9f7e-c8a798f6baa0-W336.jpg,175000.0
,,,,Available Nationwide,Two Maids® is a residential cleaning business offering a unique and profitable model that is backed by over 20 years of direct operating experience.,Two Maids,https://images.bizbuysell.com/fnw/images/2354/2465/5bf18081-6da3-4b33-955d-15a3780853c2.png,61440.0
,,,,"Los Angeles, CA","Nestled in the heart of California, Chuy's Tacos Dorados emerges as a premier investment prospect for savvy individuals seeking substantial growth in the dynamic food and beverage industry. Since its...",Los Angeles Taco Shop For Sale *Chuy's Tacos Dorados,"https://images.bizbuysell.com/shared/listings/218/2180224/838f5212-2fd6-46af-a825-a0f4ab218eea-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2180224/0473cf56-7b0a-4c95-92b4-b550be137037-W336.jpg,https://images.bizbuysell.com/shared/listings/218/2180224/101fde40-d6ca-44a0-bf56-cf76f7ed0913-W336.jpg",500000.0
,,,,"Roseville, CA","Looking for an exciting entrepreneurial opportunity in the food industry? Look no further! Granite's Wings, a well-established cheesesteak and wings shop, is now available for sale. This turnkey...",Cheesesteak & Wing Shop,"https://images.bizbuysell.com/shared/listings/211/2113296/74105faa-d06b-414e-81be-56c1ea86fbc0-W336.jpg,https://images.bizbuysell.com/shared/listings/211/2113296/648c66c5-b34a-4c46-bd53-7fd8ecd6d28d-W336.jpg,https://images.bizbuysell.com/shared/listings/211/2113296/aeec496a-37df-4cee-a3c3-bc4849808d25-W336.jpg,https://images.bizbuysell.com/shared/listings/211/2113296/d424cdc4-e7da-4372-aee0-5fa719f5891d-W336.jpg,https://images.bizbuysell.com/shared/listings/211/2113296/c7f29d34-774b-47de-8276-6db6b97fab99-W336.jpg,https://images.bizbuysell.com/shared/listings/211/2113296/1324d611-d0a1-4f06-bceb-7b04198f0e1f-W336.jpg",140000.0
,,,,"Riverside, CA","International, systems and data focused company delivering transparent & trustworthy customer service, driving substantial cash flow (23%+ Average 4-wall EBITDA) with high customer loyalty. Proven...","Riverside, CA- Simple Ops, Automotive Franchise",https://images.bizbuysell.com/shared/listings/220/2205742/835e7581-b1f9-46a8-beae-1a5033769c27-W336.jpg,100000.0
,,,,"San Diego, CA","International, systems and data focused company delivering transparent & trustworthy customer service, driving substantial cash flow (23%+ Average 4-wall EBITDA) with high customer loyalty. Proven...","San Diego, CA- Simple Ops, Automotive Franchise",https://images.bizbuysell.com/shared/listings/220/2204014/407a8fef-1b70-484e-9597-fb22725ec953-W336.jpg,415000.0
,,,,"Needles, CA","Unique opportunity to acquire a fully operational high revenue producing retail business that sits on a building that is zoned for any license type. This cannabis facility sits on a 12,500 SqFt...","$4.9M EBITDA Cannabis Dispensary Option to Buy RE (Needles, CA) #1261",https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/retailsmoke.jpg,9900000.0
,,,,"Escondido, CA","Unique opportunity to own a favorite national high-volume, self-serve frozen yogurt franchise. Offering an abundance of frozen yogurt flavors and toppings, this cute self-serve store requires only one...",Frozen Yogurt Shop for Sale,https://images.bizbuysell.com/shared/listings/220/2202939/786a0e94-0a21-412c-a2e5-760fa0a8e67e-W336.jpg,89999.0
